season,round,date,time,referee,home_team,away_team,result,home_score,away_score,home_gk_saves,away_gk_saves,home_penalties,away_penalties,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_on_target_from_penalty_area,away_shots_on_target_from_penalty_area,home_fouls,away_fouls,home_woodwork_hits,away_woodwork_hits,home_goal_chances,away_goal_chances,home_assists,away_assists,home_offsides,away_offsides,home_corner_kicks,away_corner_kicks,home_yel_cards,away_yel_cards,home_red_cards,away_red_cards,home_crosses,away_crosses,home_long_throws,away_long_throws,home_attacks_from_center,away_attacks_from_center,home_attacks_from_right,away_attacks_from_right,home_attacks_from_left,away_attacks_from_left
2005-06,7,2005-10-16,15:00,MATTEO SIMONE,REGGINA,LECCE,home,2,0,5,6,0,0,11,12,8,5,3,7,0,0,14,27,0,0,-,-,0,0,4,6,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-16,15:00,PASQUALE RODOMONTI,INTER,LIVORNO,home,5,0,1,9,0,0,19,6,14,1,5,5,0,0,19,17,0,0,-,-,7,0,2,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-16,15:00,TIZIANO PIERI,EMPOLI,ROMA,home,1,0,5,3,0,0,5,8,4,5,1,3,0,0,10,17,0,0,-,-,3,9,1,1,4,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-16,15:00,GIANLUCA ROCCHI,PALERMO,CHIEVOVERONA,draw,2,2,3,5,1,1,9,7,7,6,2,1,0,0,28,23,0,1,-,-,2,4,1,4,4,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-16,15:00,ANTONIO DANILO,PARMA,TREVISO,draw,1,1,1,1,0,0,5,8,2,2,3,6,0,0,16,28,0,0,-,-,4,5,1,1,1,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-16,15:00,NICOLA RIZZOLI,LAZIO,FIORENTINA,home,1,0,4,9,0,0,13,9,10,4,3,5,0,0,17,21,0,0,-,-,4,0,1,4,4,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-22,18:00,LUCA BANTI,MESSINA,ASCOLI,draw,1,1,0,2,1,0,9,9,3,1,6,8,0,0,16,12,0,0,-,-,0,0,9,0,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-22,20:30,EMIDIO MORGANTI,FIORENTINA,PARMA,home,4,1,3,1,0,0,7,6,4,4,3,2,0,0,18,23,0,0,-,-,3,1,8,3,7,7,1,2,0,0,19,15,21,18,14,11,6,5,6,6
2005-06,8,2005-10-23,15:00,FRANCESCO SQUILLACE,TREVISO,EMPOLI,away,1,2,1,5,0,0,17,8,6,3,11,5,0,0,17,14,0,0,-,-,3,1,0,2,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-23,15:00,PAOLO SILVIO,CHIEVOVERONA,CAGLIARI,home,2,1,0,4,0,0,11,5,6,2,5,3,0,0,23,26,0,1,-,-,0,1,4,2,10,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-23,20:30,GIANLUCA PAPARESTA,ROMA,LAZIO,draw,1,1,2,1,0,0,6,4,2,3,4,1,0,0,28,20,0,0,-,-,4,3,2,2,3,3,3,2,0,0,9,10,14,17,17,5,3,6,2,8
2005-06,8,2005-10-23,15:00,STEFANO FARINA,MILAN,PALERMO,home,2,1,2,9,0,0,15,10,11,4,4,6,0,0,18,20,0,1,-,-,1,3,0,0,7,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-23,15:00,PAOLO BERTINI,LIVORNO,REGGINA,home,1,0,2,3,0,0,11,8,4,2,7,6,0,0,26,15,0,0,-,-,1,0,3,5,10,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-23,15:00,DANIELE TOMBOLINI,UDINESE,INTER,away,0,1,8,5,0,0,10,16,5,9,5,7,0,0,20,17,0,0,-,-,0,0,3,0,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-23,15:00,SALVATORE RACALBUTO,LECCE,JUVENTUS,away,0,3,8,3,0,0,7,20,3,11,4,9,0,0,27,27,0,0,-,-,0,0,7,4,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,8,2005-10-23,15:00,OSCAR GIRARDI,SAMPDORIA,ROBUR SIENA,draw,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,9,2005-10-26,20:30,LUCA PALANCA,CAGLIARI,LIVORNO,draw,1,1,2,4,1,0,13,5,6,3,7,2,0,0,17,27,1,0,-,-,2,2,5,2,8,2,2,3,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,ROBERTO ROSETTI,INTER,ROMA,away,2,3,2,7,0,1,18,11,10,6,8,5,0,0,17,21,1,1,-,-,4,2,4,3,9,1,2,3,1,1,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,CHRISTIAN BRIGHI,PALERMO,LECCE,home,3,0,7,1,0,0,10,15,4,7,6,8,0,0,16,15,0,0,-,-,2,0,1,6,2,8,2,3,0,0,-,-,-,-,-,-,-,-,-,-
